Jurisdiction,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
National Statistics (U.S. Total),,7348,8045,8000,9174,9348,8428,8219,8305,8698,9186,9934,9702,9324,9586,10031,12872,13346,10716,9808,8809,7175,6714,5750,5072,4949,4651,4594,4217,4205,4949,3264,3182,2378,2093,2370,2000,2021,2270,2371,
, Male,6851,7512,7477,8651,8803,7942,7664,7779,8097,8561,9186,8925,8801,9006,9312,11892,12320,9685,8762,7883,6345,5992,5154,4513,4381,4159,4201,3791,3715,4464,2891,2876,2201,1876,2109,1762,1737,1938,1990, 
, Female,497,533,523,523,545,486,555,526,601,625,748,777,523,580,719,980,1026,1031,1046,926,830,722,596,559,568,492,393,426,490,485,373,306,177,217,261,238,284,332,381, 
Federal Institutions,,860,946,741,694,414,376,482,628,487,439,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
, Male,792,871,683,640,392,359,439,578,451,416,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,68,75,58,54,22,17,43,50,36,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
State Institutions (Total),,6488,7099,7259,8480,8934,8052,7737,7677,8211,8747,9662,9702,9324,9586,10031,12872,13346,10716,9808,8809,7175,6714,5750,5072,4949,4651,4594,4217,4205,4949,3264,3182,2378,2093,2370,2000,2021,2270,2371,
, Male,6059,6641,6794,8011,8411,7583,7225,7201,7646,8145,8926,8925,8801,9006,9312,11892,12320,9685,8762,7883,6345,5992,5154,4513,4381,4159,4201,3791,3715,4464,2891,2876,2201,1876,2109,1762,1737,1938,1990, 
, Female,429,458,465,469,523,469,512,476,565,602,736,777,523,580,719,980,1026,1031,1046,926,830,722,596,559,568,492,393,426,490,485,373,306,177,217,261,238,284,332,381, 
Alabama,,243,222,8,0,39,41,44,29,281,251,231,240,209,174,208,238,205,194,265,265,217,171,161,161,162,7,113,182,180,186,269,337,370,533,632,640,683,797,879,
, Male,227,214,8,0,38,41,41,29,262,236,212,202,187,137,172,205,178,170,226,236,179,171,138,143,127,7,91,150,140,158,228,277,307,439,536,542,545,670,697, 
, Female,16,8,0,0,1,0,3,0,19,15,19,38,22,37,36,33,27,24,39,29,38,0,23,18,35,0,22,32,40,28,41,60,63,94,96,98,138,127,182, 
Alaska,,3,4,8,10,0,0,9,7,16,9,3,3,0,0,8,4,0,3,41,38,40,31,37,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
, Male,3,4,8,10,0,0,9,7,16,9,3,3,0,0,8,3,0,2,30,26,35,29,36,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,12,5,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Arizona,,258,219,159,141,180,0,0,89,102,127,136,101,105,321,313,79,32,45,30,10,15,339,70,65,84,86,173,262,370,419,6,628,493,3,1,0,1,0,2,
, Male,240,203,140,127,165,0,0,85,101,125,135,100,89,275,264,59,20,23,19,5,7,310,60,60,73,72,160,240,325,412,6,568,490,2,1,0,1,0,2, 
, Female,18,16,19,14,15,0,0,4,1,2,1,1,16,46,49,20,12,22,11,5,8,29,10,5,11,14,13,22,45,7,0,60,3,1,0,0,0,0,0, 
Arkansas,,14,26,18,18,23,30,21,15,18,11,22,24,12,15,6,12,16,17,7,9,14,12,5,9,7,7,7,4,11,0,0,3,4,0,3,0,0,0,0,
, Male,14,26,18,18,23,30,21,14,18,11,22,23,12,15,6,11,16,17,7,9,14,12,5,8,7,7,6,4,11,0,0,3,4,0,3,0,0,0,0, 
, Female,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, 
California,,132,157,145,207,380,671,821,667,689,689,627,763,665,494,654,624,510,386,390,276,209,405,324,233,225,249,163,42,43,45,45,43,17,15,25,0,0,0,0,
, Male,127,149,141,197,360,624,765,610,657,644,567,677,607,464,623,588,485,356,364,256,192,374,313,222,214,222,147,33,36,33,37,32,16,14,24,0,0,0,0, 
, Female,5,8,4,10,20,47,56,57,32,45,60,86,58,30,31,36,25,30,26,20,17,31,11,11,11,27,16,9,7,12,8,11,1,1,1,0,0,0,0, 
Colorado,,42,66,179,186,186,179,171,222,234,195,233,240,435,361,254,372,353,420,371,340,322,347,309,342,359,351,576,587,585,497,397,133,319,103,87,0,0,0,0,
, Male,40,64,173,185,177,155,157,222,215,174,214,227,391,335,242,307,326,365,318,281,262,299,252,296,292,299,512,491,492,429,316,123,308,96,78,0,0,0,0, 
, Female,2,2,6,1,9,24,14,0,19,21,19,13,44,26,12,65,27,55,53,59,60,48,57,46,67,52,64,96,93,68,81,10,11,7,9,0,0,0,0, 
Connecticut,,24,83,76,65,59,105,89,85,139,124,159,450,670,713,673,827,368,249,121,115,131,144,154,141,112,106,106,119,116,179,117,122,116,112,98,156,140,116,105,
, Male,18,66,57,47,49,85,61,78,134,115,149,419,613,637,529,686,337,221,114,105,112,132,147,131,106,99,98,115,108,165,112,111,110,102,89,144,130,110,95, 
, Female,6,17,19,18,10,20,28,7,5,9,10,31,57,76,144,141,31,28,7,10,19,12,7,10,6,7,8,4,8,14,5,11,6,10,9,12,10,6,10, 
Delaware,,26,34,16,49,61,85,139,177,154,131,126,34,66,84,86,112,100,52,39,41,33,62,50,45,0,25,50,6,5,11,12,13,9,15,15,5,12,9,6,
, Male,26,31,16,48,59,83,139,164,141,114,116,31,57,68,75,100,83,47,35,36,28,45,41,38,0,23,42,6,5,10,12,13,9,15,15,5,12,8,6, 
, Female,0,3,0,1,2,2,0,13,13,17,10,3,9,16,11,12,17,5,4,5,5,17,9,7,0,2,8,0,0,1,0,0,0,0,0,0,0,1,0, 
